Date,AdjClose,Volume,Month,DayOfMonth,DayOfWeek,Diff_HighLow,Diff_OpenClose,AdjClose_Lag1,Diff_HighLow_Lag1,Diff_OpenClose_Lag1,Volume_Lag1,AdjClose_Lag2,Diff_HighLow_Lag2,Diff_OpenClose_Lag2,Volume_Lag2,AdjClose_Lag3,Diff_HighLow_Lag3,Diff_OpenClose_Lag3,Volume_Lag3
2016-01-05,91.02120208740234,3652300,1,5,1,0.879997253417983,-0.06999969482421875,90.81787872314452,1.3699951171875284,-0.15999603271484375,6138300.0,92.19685363769533,1.0199966430664205,0.629997253417983,3652200.0,93.09850311279295,0.75,0.6399993896484375,2405900.0
2016-01-06,89.80133819580078,3732800,1,6,2,1.280006408691392,-0.05999755859375,91.02120208740234,0.879997253417983,-0.06999969482421875,3652300.0,90.81787872314452,1.3699951171875284,-0.15999603271484375,6138300.0,92.19685363769533,1.0199966430664205,0.629997253417983,3652200.0
2016-01-07,87.60028839111328,9256200,1,7,3,1.9300003051757528,0.8000030517578125,89.80133819580078,1.280006408691392,-0.05999755859375,3732800.0,91.02120208740234,0.879997253417983,-0.06999969482421875,3652300.0,90.81787872314452,1.3699951171875284,-0.15999603271484375,6138300.0
2016-01-08,86.60140228271484,7015800,1,8,4,2.209999084472642,1.6399993896484375,87.60028839111328,1.9300003051757528,0.8000030517578125,9256200.0,89.80133819580078,1.280006408691392,-0.05999755859375,3732800.0,91.02120208740234,0.879997253417983,-0.06999969482421875,3652300.0
2016-01-11,86.5483627319336,6863800,1,11,0,1.8899993896484517,0.6399993896484233,86.60140228271484,2.209999084472642,1.6399993896484375,7015800.0,87.60028839111328,1.9300003051757528,0.8000030517578125,9256200.0,89.80133819580078,1.280006408691392,-0.05999755859375,3732800.0
2016-01-12,87.14063262939453,4457300,1,12,1,1.8899993896484517,0.220001220703125,86.5483627319336,1.8899993896484517,0.6399993896484233,6863800.0,86.60140228271484,2.209999084472642,1.6399993896484375,7015800.0,87.60028839111328,1.9300003051757528,0.8000030517578125,9256200.0
2016-01-13,84.89535522460938,6163000,1,13,2,3.4199981689453267,2.9599990844726562,87.14063262939453,1.8899993896484517,0.220001220703125,4457300.0,86.5483627319336,1.8899993896484517,0.6399993896484233,6863800.0,86.60140228271484,2.209999084472642,1.6399993896484375,7015800.0
2016-01-14,86.19479370117188,5085100,1,14,3,2.849998474121108,-1.1500015258789205,84.89535522460938,3.4199981689453267,2.9599990844726562,6163000.0,87.14063262939453,1.8899993896484517,0.220001220703125,4457300.0,86.5483627319336,1.8899993896484517,0.6399993896484233,6863800.0
2016-01-15,84.38268280029297,8101700,1,15,4,1.6599960327148295,-0.40999603271485796,86.19479370117188,2.849998474121108,-1.1500015258789205,5085100.0,84.89535522460938,3.4199981689453267,2.9599990844726562,6163000.0,87.14063262939453,1.8899993896484517,0.220001220703125,4457300.0
2016-01-19,84.29427337646484,7435700,1,19,1,2.1699981689453267,1.2099990844726562,84.38268280029297,1.6599960327148295,-0.40999603271485796,8101700.0,86.19479370117188,2.849998474121108,-1.1500015258789205,5085100.0,84.89535522460938,3.4199981689453267,2.9599990844726562,6163000.0
