Date,Open,High,Low,Close,AdjClose,Volume
2015-11-25,107.51000213623047,107.66000366210938,107.25,107.47000122070312,94.46078491210938,1820300
2015-11-27,107.58999633789062,107.76000213623047,107.22000122070312,107.62999725341797,94.60139465332031,552400
2015-11-30,107.77999877929688,107.8499984741211,107.11000061035156,107.16999816894531,94.19706726074219,3618100
2015-12-01,107.58999633789062,108.20999908447266,107.37000274658203,108.18000030517578,95.08484649658203,2443600
2015-12-02,108.0999984741211,108.2699966430664,106.87999725341797,107.05000305175781,94.09162139892578,2937200
2015-12-03,107.29000091552734,107.4800033569336,105.05999755859375,105.44999694824219,92.68529510498047,3345600
2015-12-04,105.80999755859375,107.54000091552734,105.62000274658203,107.38999938964844,94.39044189453125,4520000
2015-12-07,107.2300033569336,107.2699966430664,106.05999755859375,106.55000305175781,93.65211486816406,3000500
2015-12-08,105.94000244140625,106.4000015258789,105.2699966430664,105.91000366210938,93.0896224975586,3149600
2015-12-09,105.55000305175781,106.75,104.4800033569336,105.0,92.28976440429688,4179800
2015-12-10,105.18000030517578,106.05999755859375,104.91999816894531,105.30999755859375,92.56226348876953,3684900
2015-12-11,104.16999816894531,104.43000030517578,103.06999969482422,103.23999786376953,90.74281311035156,5100700
2015-12-14,103.36000061035156,103.72000122070312,102.18000030517578,103.61000061035156,91.06805419921875,7237800
2015-12-15,104.44000244140625,105.19000244140625,104.36000061035156,104.72000122070312,92.04365539550781,2918000
2015-12-16,105.45999908447266,106.41999816894531,104.69999694824219,106.23999786376953,93.3796615600586,5972400
2015-12-17,106.44000244140625,106.47000122070312,104.68000030517578,104.68000030517578,92.00848388671875,4939900
2015-12-18,104.16999816894531,104.36000061035156,102.9000015258789,102.9000015258789,90.44397735595703,4207700
2015-12-21,103.19000244140625,103.27999877929688,102.37000274658203,103.12999725341797,91.16264343261719,3240700
2015-12-22,103.6500015258789,104.26000213623047,103.04000091552734,104.05999755859375,91.98472595214844,2876600
2015-12-23,104.62999725341797,105.4000015258789,104.51000213623047,105.36000061035156,93.13385772705078,3342300
2015-12-24,105.22000122070312,105.5999984741211,105.08000183105469,105.2300033569336,93.01895141601562,1460500
2015-12-28,104.87999725341797,105.0,104.31999969482422,105.0,92.81563568115234,3479600
2015-12-29,105.69000244140625,106.23999786376953,105.54000091552734,106.12000274658203,93.80569458007812,2508300
2015-12-30,105.95999908447266,106.0,105.25,105.31999969482422,93.09849548339844,2405900
2015-12-31,104.93000030517578,105.31999969482422,104.30000305175781,104.30000305175781,92.19686126708984,3652200
2016-01-04,102.58000183105469,102.94999694824219,101.58000183105469,102.73999786376953,90.81790161132812,6138300
